Principal Payments Start ,Maturity,Interest Rate (actual or min),Interest Rate (max),Outstanding Principal,Original Amount,ID
,2029,5.1,6.0,50000000,309370000,
,2020,5.25,,5005000,107870000,
,2024,5.5,,132990000,174965000,
,2026,5.0,,6395000,66980000,
,2021,5.0,,36915000,104645000,
,2024,3.0,5.0,46175000,140645000,
,2038,3.5,5.0,75295000,75295000,
2025.0,2036,5.0,,37775000,37775000,
2028.0,2036,4.0,,143060000,143060000,
,2031,1.01,3.33,93100000,95975000,
2032.0,2038,3.25,5.0,96630000,96630000,
,2031,1.17,3.61,32125000,32785000,
,2031,1.17,3.61,55345000,55345000,
,2029,4.875,5.03,72627030,159645307,
