"Current.Funding.Source","0","1","2","3","4","5","6","7","8"
"Capital Improvement Fund",9854498,16835401,19262686,10664673,3743321,1183619,1100000,1125000,1125000
"Energy Fund",1024036,1286911,673483,0,0,0,0,0,0
"Member Goverment Contribution-JPA",2983590,2983590,2995077,2543283,11626665,18135824,18135824,6810648,0
"Renewal and Replacement Fund",11895854,16725771,11846862,8566813,2507320,1562563,4242613,4300563,2321690
"Revenue Bonds (320)",103749,151277,0,0,0,0,0,0,0
"Revenue Bonds (350)",1424447,2465352,1928643,133102,0,0,0,0,0
"Revenue Bonds (Future)",47177258,56119915,77579690,79743323,139002758,158678265,68848289,66561585,9665169
"State Grant",148042,319331,282626,0,0,0,0,0,0
"SWFWMD Co-Funding",1992163,5155766,5630551,4265027,75225798,130810179,46078613,32552233,9665169
"Uniform Rate Funds",3459960,3647999,1361043,396417,0,0,0,0,0
