"Current.Funding.Source","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032"
"Capital Improvement Fund",7691664,11511368,12274311,8312091,8304438,5240001,2829527,3252047,2715748,2121309,2654958,1183619
"Energy Fund",788387,427043,0,130844,385275,160431,331331,348374,143262,269483,0,0
"Member Goverment Contribution-JPA",0,2983590,2983590,2995077,2543283,11626665,18135824,18135824,6810648,0,0,0
"Renewal and Replacement Fund",2774849,14631014,4071881,6373146,4438822,4634046,3996596,5063582,4837252,5148861,3e+06,5e+06
"Revenue Bonds (320)",103749,151277,0,0,0,0,0,0,0,0,0,0
"Revenue Bonds (350)",1226318,2200163,1861583,265189,265189,133102,0,0,0,0,0,0
"Revenue Bonds (Future)",0,0,60742750,62838963,62285713,80637425,144258833,168658315,54522807,50075756,16660362,2695328
"State Grant",148042,319331,282626,0,0,0,0,0,0,0,0,0
"SWFWMD Co-Funding",0,4568676,5718531,4568864,3242273,28414307,106136722,140049104,18677022,0,0,0
"Uniform Rate Funds",2480758,2547104,846533,974807,660677,969304,386236,0,0,0,0,0
