"","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032"
"Capital Improvement Fund",0,0,0,0,0,0,0,0,0,0,0,0
"Energy Fund",0,0,0,0,0,0,0,0,0,0,0,0
"Member Goverment Contribution-JPA",0,0,0,0,0,0,0,0,0,0,0,0
"Renewal and Replacement Fund",0,0,0,0,0,0,0,0,0,0,0,0
"Revenue Bonds (320)",0,0,0,0,0,0,0,0,0,0,0,0
"Revenue Bonds (350)",0,0,0,0,0,0,0,0,0,0,0,0
"Revenue Bonds (Future)",0,0,0.78,0.79,0.78,0.78,0.93,0.98,0.97,0.82,0,0
"State Grant",0,0,0,0,0,0,0,0,0,0,0,0
"SWFWMD Co-Funding",0,0.65,0.39,0.47,0.59,0.59,0.83,0.87,0.64,0,0,0
"Uniform Rate Funds",0,0,0,0,0,0,0,0,0,0,0,0
